Episode 182, Score: 20.4163, Steps: 16819, Episode Time: 0h 3m 16.516762495040894s
Episode 183, Score: 92.5999, Steps: 16819, Episode Time: 0h 2m 59.147066593170166s
Episode 184, Score: 7.97607, Steps: 16819, Episode Time: 0h 3m 4.712903738021851s
Episode 185, Score: 10.415, Steps: 16819, Episode Time: 0h 3m 0.34395623207092285s
Episode 186, Score: 8.92358, Steps: 16819, Episode Time: 0h 3m 14.137208223342896s
Episode 187, Score: 88.9524, Steps: 16819, Episode Time: 0h 3m 21.008418083190918s
Episode 188, Score: 9.36304, Steps: 16819, Episode Time: 0h 3m 36.60987734794617s
Episode 189, Score: 7.24951, Steps: 16819, Episode Time: 0h 3m 38.379639863967896s
Episode 190, Score: 6.95239, Steps: 16819, Episode Time: 0h 3m 32.74786186218262s
Episode 191, Score: 7.63379, Steps: 16819, Episode Time: 0h 3m 12.055929899215698s
Episode 192, Score: 7.07642, Steps: 16819, Episode Time: 0h 3m 5.575242042541504s
Episode 193, Score: 6.79712, Steps: 16819, Episode Time: 0h 3m 5.570199489593506s
Episode 194, Score: 9.64844, Steps: 16819, Episode Time: 0h 2m 57.60580611228943s
Episode 195, Score: 38.9209, Steps: 16819, Episode Time: 0h 3m 1.2195649147033691s
Episode 196, Score: 30.3474, Steps: 16819, Episode Time: 0h 3m 4.250096797943115s
Episode 197, Score: 6.19312, Steps: 16819, Episode Time: 0h 3m 3.3025083541870117s
Episode 198, Score: 44.2385, Steps: 16819, Episode Time: 0h 3m 0.38602662086486816s
Episode 199, Score: 19.4905, Steps: 16819, Episode Time: 0h 2m 56.19005370140076s
Episode 200, Score: 22.2527, Steps: 16819, Episode Time: 0h 2m 55.15092134475708s
Episode 201, Score: 26.0195, Steps: 16819, Episode Time: 0h 2m 55.3088481426239s
Episode 202, Score: 13.6484, Steps: 16819, Episode Time: 0h 2m 54.76940608024597s
Episode 203, Score: 10.7837, Steps: 16819, Episode Time: 0h 2m 53.03987383842468s
Episode 204, Score: 8.94165, Steps: 16819, Episode Time: 0h 2m 52.98681044578552s
Episode 205, Score: 8.98047, Steps: 16819, Episode Time: 0h 2m 53.706480979919434s
Episode 206, Score: 89.3347, Steps: 16819, Episode Time: 0h 2m 52.9044029712677s
